lambda,nodes_size,seed,RMSE,Accuracy,F1,Time,Is_DAG
0.5,5,40,0.019594534027013003,0.9999999996,0.9999999983333333,37.300769999972545,1
0.5,5,41,0.07610878508431357,0.9999999996,0.9999999983333333,23.393209199944977,1
0.5,5,42,0.07160234448855245,0.9999999996,0.9999999987499999,24.538989800028503,1
0.5,5,43,0.013573361957763146,0.9999999996,0.9999999983333333,25.850623600010294,1
0.5,5,44,,0.9999999996,0.0,30.793159499997273,1
0.5,5,45,0.026259672210877154,0.9999999996,0.999999995,26.240755199978594,1
0.5,5,46,0.051702345628146955,0.9999999996,0.9999999975,57.021589900017716,1
0.5,5,47,0.0561578090374286,0.9999999996,0.999999995,54.85842950001825,1
0.5,5,48,0.06496565106888887,0.9999999996,0.999999995,70.06803000002401,1
0.5,5,49,,0.9999999996,0.0,119.1951001000125,1
0.5,10,40,0.07217816255166705,0.9999999999000001,0.9999999995454545,73.44050259998767,1
0.5,10,41,0.047933509817793214,0.9999999999000001,0.9999999995,42.976898599998094,1
0.5,10,42,0.05640352527853367,0.9999999999000001,0.9999999996153845,33.665845400013495,1
0.5,10,43,0.03857507090231208,0.9999999999000001,0.9999999991666666,27.056958400004078,1
0.5,10,44,0.053637516981791755,0.9999999999000001,0.999999999375,26.454693499952555,1
0.5,10,45,0.05324719453185891,0.9999999999000001,0.9999999995454545,33.171318399952725,1
0.5,10,46,0.06738511777102174,0.9999999999000001,0.9999999997058824,29.37926089996472,1
0.5,10,47,0.045072750505615995,0.9999999999000001,0.9999999991666666,34.12673979997635,1
0.5,10,48,0.07477559778572933,0.9999999999000001,0.9999999994444444,29.737519499962218,1
0.5,10,49,0.048533279745466694,0.9999999999000001,0.9999999996428571,35.21689849998802,1
0.5,15,40,0.05863142962463696,0.9999999999555556,0.9999999997916666,101.55672390002292,1
0.5,15,41,0.055138520681434815,0.9999999999555556,0.9999999996875,27.49432609998621,1
0.5,15,42,0.05724302326284501,0.9999999999555556,0.9999999997619048,95.36735419998877,1
0.5,15,43,0.053885580640418394,0.9999999999555556,0.9999999997368421,30.565688200003933,1
0.5,15,44,0.04843144295663406,0.9999999999555556,0.9999999997916666,34.332613300008234,1
0.5,15,45,0.07687440183462298,0.9955555555113086,0.9795918365347771,29.937131400045473,1
0.5,15,46,0.05188678632998164,0.9999999999555556,0.9999999997727272,41.20198589999927,1
0.5,15,47,0.04717681158433663,0.9999999999555556,0.9999999997058824,194.6725300999824,1
0.5,15,48,0.058025510128969886,0.9999999999555556,0.9999999998214285,49.94610940001439,1
0.5,15,49,0.07072360845245283,0.9955555555113086,0.9836065572158021,64.87208600004669,1
0.5,20,40,0.06031659294154385,0.999999999975,0.999999999883721,166.62239250005223,1
0.5,20,41,0.049910404207736306,0.999999999975,0.9999999998571429,238.69916089996696,1
0.5,20,42,0.06912994378948181,0.9974999999750624,0.9836065572158021,58.819622299983166,1
0.5,20,43,0.051135206415988385,0.999999999975,0.9999999998571429,137.39465679996647,1
0.5,20,44,0.0696611999149759,0.999999999975,0.999999999883721,249.18983129999833,1
0.5,20,45,0.049088511952327774,0.999999999975,0.999999999864865,161.66510470001958,1
0.5,20,46,0.05186375105668441,0.999999999975,0.9999999998529413,104.72548689995892,1
0.5,20,47,0.05824326326701622,0.999999999975,0.9999999998275861,95.9470025000046,1
0.5,20,48,0.058101342343264646,0.999999999975,0.9999999998979593,97.33750480000162,1
0.5,20,49,0.061706203803443126,0.9974999999750624,0.9873417720269189,97.72904169996036,0
1.0,5,40,0.019674757554479335,0.9999999996,0.9999999983333333,23.967218299978413,1
1.0,5,41,0.07574694429826698,0.9999999996,0.9999999983333333,27.731122700031847,1
1.0,5,42,0.07265560121973147,0.9999999996,0.9999999987499999,29.38393160002306,1
1.0,5,43,0.014606150328863433,0.9999999996,0.9999999983333333,53.43280640000012,1
1.0,5,44,,0.9999999996,0.0,93.90341999998782,1
1.0,5,45,0.027209899511681936,0.9999999996,0.999999995,77.53229120001197,1
1.0,5,46,0.05237772659775486,0.9999999996,0.9999999975,57.28282580000814,1
1.0,5,47,0.05484036298898547,0.9999999996,0.999999995,45.96233499998925,1
1.0,5,48,0.0661505242468605,0.9999999996,0.999999995,45.37434400001075,1
1.0,5,49,,0.9999999996,0.0,57.40801780001493,1
1.0,10,40,0.07250660932656994,0.9999999999000001,0.9999999995454545,58.65508729999419,1
1.0,10,41,0.04809443245368174,0.9999999999000001,0.9999999995,51.029510500025935,1
1.0,10,42,0.05644392677985508,0.9999999999000001,0.9999999996153845,35.98226479999721,1
1.0,10,43,0.039200962296460834,0.9999999999000001,0.9999999991666666,46.8874868999701,1
1.0,10,44,0.05379738244091199,0.9999999999000001,0.999999999375,43.74629070004448,1
1.0,10,45,0.05308693098641308,0.9999999999000001,0.9999999995454545,38.609029299987014,1
1.0,10,46,0.06771280697166332,0.9999999999000001,0.9999999997058824,46.36943070002599,1
1.0,10,47,0.04469629296488369,0.9999999999000001,0.9999999991666666,42.43509939999785,1
1.0,10,48,0.07496839837588086,0.9999999999000001,0.9999999994444444,42.82985929999268,1
1.0,10,49,0.04961374065936943,0.9999999999000001,0.9999999996428571,46.94044550001854,1
1.0,15,40,0.058381452539680904,0.9999999999555556,0.9999999997916666,254.84982939995825,1
1.0,15,41,0.055018260486026614,0.9999999999555556,0.9999999996875,44.217698899970856,1
1.0,15,42,0.05741752143611432,0.9999999999555556,0.9999999997619048,144.79547260003164,1
1.0,15,43,0.053734127919878256,0.9999999999555556,0.9999999997368421,54.88437899999553,1
1.0,15,44,0.04843266346845413,0.9999999999555556,0.9999999997916666,51.56991570000537,1
1.0,15,45,0.07671653666234984,0.9955555555113086,0.9795918365347771,37.931235099968035,1
1.0,15,46,0.05331489635866636,0.9999999999555556,0.9999999997727272,85.46029920002911,1
1.0,15,47,0.04730912666532376,0.9999999999555556,0.9999999997058824,180.58510580001166,1
1.0,15,48,0.0578480858316025,0.9999999999555556,0.9999999998214285,59.45596510003088,1
1.0,15,49,0.07074016872633397,0.9955555555113086,0.9836065572158021,62.46355059999041,1
1.0,20,40,0.06036135014577256,0.999999999975,0.999999999883721,290.8164067000034,1
1.0,20,41,0.049752679937257044,0.999999999975,0.9999999998571429,209.8760519999778,1
1.0,20,42,0.0698998892603654,0.9974999999750624,0.9836065572158021,70.07988709997153,1
1.0,20,43,0.0509579736491584,0.999999999975,0.9999999998571429,142.79803290002747,1
1.0,20,44,0.07007853518122802,0.999999999975,0.999999999883721,145.09376819996396,1
1.0,20,45,0.049020884312371824,0.999999999975,0.999999999864865,292.1385888000368,1
1.0,20,46,0.0519210412696231,0.999999999975,0.9999999998529413,231.25729979999596,1
1.0,20,47,0.058094430090688924,0.999999999975,0.9999999998275861,142.98085560003528,1
1.0,20,48,0.05806810528603055,0.999999999975,0.9999999998979593,186.8035327999969,1
1.0,20,49,0.06138219614378675,0.9974999999750624,0.9873417720269189,230.71407210000325,0
10.0,5,40,0.030562576056900652,0.9999999996,0.9999999983333333,61.964773199986666,1
10.0,5,41,0.07101170445629679,0.9999999996,0.9999999983333333,50.533635600004345,1
10.0,5,42,0.09252944631455266,0.9999999996,0.9999999987499999,42.01239019999048,1
10.0,5,43,0.038407753853144024,0.9999999996,0.9999999983333333,34.26899409998441,1
10.0,5,44,,0.9999999996,0.0,62.935357599984854,1
10.0,5,45,0.048328830535153265,0.9999999996,0.999999995,38.15658370003803,1
10.0,5,46,0.06497924792296825,0.9999999996,0.9999999975,32.05089900002349,1
10.0,5,47,0.030502135937030463,0.9999999996,0.999999995,58.008901400025934,1
10.0,5,48,0.09102379436224274,0.9999999996,0.999999995,43.3837821999914,1
10.0,5,49,,0.9999999996,0.0,64.67009329999564,1
10.0,10,40,0.0795847281292277,0.9999999999000001,0.9999999995454545,48.17973340000026,1
10.0,10,41,0.051978518069107485,0.9999999999000001,0.9999999995,47.584781499987,1
10.0,10,42,0.0599008625975,0.9999999999000001,0.9999999996153845,45.16711420001229,1
10.0,10,43,0.053166990344029635,0.9999999999000001,0.9999999991666666,44.011124600016046,1
10.0,10,44,0.059950655377155194,0.9999999999000001,0.999999999375,51.54344600002514,1
10.0,10,45,0.05325713691739589,0.9999999999000001,0.9999999995454545,63.4486598999938,1
10.0,10,46,0.07812478869909434,0.9999999999000001,0.9999999997058824,71.41312330000801,1
10.0,10,47,0.038363866904994645,0.9999999999000001,0.9999999991666666,72.81286000000546,1
10.0,10,48,0.07440517192115143,0.9999999999000001,0.9999999994444444,60.0241256999434,1
10.0,10,49,0.05166470691706831,0.9999999999000001,0.9999999996428571,56.47524709999561,1
10.0,15,40,0.0651808324450291,0.9999999999555556,0.9999999997916666,50.65984129998833,1
10.0,15,41,0.05639691836639227,0.9999999999555556,0.9999999996875,54.723454499966465,1
10.0,15,42,0.06677144282377856,0.9999999999555556,0.9999999997619048,71.05420200002845,1
10.0,15,43,0.05172738736283495,0.9999999999555556,0.9999999997368421,56.02393079997273,1
10.0,15,44,0.05095485531229058,0.9999999999555556,0.9999999997916666,58.01488079997944,1
10.0,15,45,0.07020877770358386,0.9999999999555556,0.9999999997916666,60.70571180002298,1
10.0,15,46,0.0642769025296581,0.9999999999555556,0.9999999997727272,58.41505569999572,1
10.0,15,47,0.057207790629705095,0.9999999999555556,0.9999999997058824,37.661222699971404,1
10.0,15,48,0.05628160680668726,0.9999999999555556,0.9999999998214285,30.243469200038817,1
10.0,15,49,0.06888962052320383,0.9999999999555556,0.9999999998333333,33.15091440000106,1
10.0,20,40,0.06999960153634671,0.999999999975,0.999999999883721,31.319432000047527,1
10.0,20,41,0.05161699020532909,0.999999999975,0.9999999998571429,187.31960659998003,1
10.0,20,42,0.07585912132795515,0.9974999999750624,0.9836065572158021,77.2168247999507,1
10.0,20,43,0.051939779439358784,0.999999999975,0.9999999998571429,34.473338999960106,1
10.0,20,44,0.08236187554569561,0.999999999975,0.999999999883721,39.61016139999265,1
10.0,20,45,0.05585785190102722,0.999999999975,0.999999999864865,48.72148790000938,1
10.0,20,46,0.05507453450538557,0.999999999975,0.9999999998529413,37.82616400002735,1
10.0,20,47,0.0708975397580284,0.9974999999750624,0.9830508472910083,33.0637023000163,1
10.0,20,48,0.05612332398574582,0.999999999975,0.9999999998979593,41.53211790003115,1
10.0,20,49,0.05311860592830478,0.999999999975,0.999999999871795,42.987414499977604,1
