alpha_factor,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
0.25,7,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.31903070001862943,-0.0,1
0.25,7,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.33465979993343353,-0.0,1
0.25,7,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3514121000189334,-0.0,1
0.25,7,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3220444000326097,-0.0,1
0.25,7,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.35406479984521866,-0.0,1
0.25,7,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.422666700091213,-0.0,1
0.25,7,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3750861999578774,-0.0,1
0.25,7,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.32251220010221004,-0.0,1
0.25,7,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.7162055999506265,-0.0,1
0.25,7,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4019100000150502,-0.0,1
0.25,10,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.35894499998539686,-0.0,1
0.25,10,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.34117130003869534,-0.0,1
0.25,10,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.33922809991054237,-0.0,1
0.25,10,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3480433998629451,-0.0,1
0.25,10,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3366056999657303,-0.0,1
0.25,10,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3543780001346022,-0.0,1
0.25,10,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.36775740003213286,-0.0,1
0.25,10,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.33768379990942776,-0.0,1
0.25,10,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.321146999951452,-0.0,1
0.25,10,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3410600000061095,-0.0,1
0.25,15,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.34110460011288524,-0.0,1
0.25,15,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.39084889995865524,-0.0,1
0.25,15,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.37010969989933074,-0.0,1
0.25,15,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3872887999750674,-0.0,1
0.25,15,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3544382001273334,-0.0,1
0.25,15,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.9490334000438452,-0.0,1
0.25,15,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.8671441001351923,-0.0,1
0.25,15,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.5934482999145985,-0.0,1
0.25,15,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.7361825001426041,-0.0,1
0.25,15,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.6407228999305516,-0.0,1
0.25,20,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.5999712999910116,-0.0,1
0.25,20,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4587917998433113,-0.0,1
0.25,20,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4174161001574248,-0.0,1
0.25,20,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4085278999991715,-0.0,1
0.25,20,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4732387000694871,-0.0,1
0.25,20,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4089277999009937,-0.0,1
0.25,20,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.41258889995515347,-0.0,1
0.25,20,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4263683999888599,-0.0,1
0.25,20,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4453586998861283,-0.0,1
0.25,20,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4084498998709023,-0.0,1
0.5,7,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3785751999821514,-0.0,1
0.5,7,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3743735000025481,-0.0,1
0.5,7,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3669406999833882,-0.0,1
0.5,7,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.38458229997195303,-0.0,1
0.5,7,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.39420769992284477,-0.0,1
0.5,7,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.36738399998284876,-0.0,1
0.5,7,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3877451999578625,-0.0,1
0.5,7,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.38737539993599057,-0.0,1
0.5,7,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.440885900054127,-0.0,1
0.5,7,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.41981879994273186,-0.0,1
0.5,10,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.386634900001809,-0.0,1
0.5,10,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.39066430018283427,-0.0,1
0.5,10,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.38977450015954673,-0.0,1
0.5,10,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3906802001874894,-0.0,1
0.5,10,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3690645999740809,-0.0,1
0.5,10,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3974556000903249,-0.0,1
0.5,10,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4051689999178052,-0.0,1
0.5,10,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.438220800133422,-0.0,1
0.5,10,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4080678001046181,-0.0,1
0.5,10,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4067051999736577,-0.0,1
0.5,15,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40306989988312125,-0.0,1
0.5,15,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.41533079999499023,-0.0,1
0.5,15,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4506675999145955,-0.0,1
0.5,15,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.41216750000603497,-0.0,1
0.5,15,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4070976001676172,-0.0,1
0.5,15,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4086919999681413,-0.0,1
0.5,15,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40918459999375045,-0.0,1
0.5,15,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4029772998765111,-0.0,1
0.5,15,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3894694000482559,-0.0,1
0.5,15,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.39368340000510216,-0.0,1
0.5,20,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4452682000119239,-0.0,1
0.5,20,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4087882998865098,-0.0,1
0.5,20,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40492210001684725,-0.0,1
0.5,20,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.405744899995625,-0.0,1
0.5,20,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40563759999349713,-0.0,1
0.5,20,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40684879990294576,-0.0,1
0.5,20,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40244459989480674,-0.0,1
0.5,20,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40057180006988347,-0.0,1
0.5,20,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40866130008362234,-0.0,1
0.5,20,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4386999001726508,-0.0,1
0.75,7,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4044508000370115,-0.0,1
0.75,7,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40316960006020963,-0.0,1
0.75,7,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4097365001216531,-0.0,1
0.75,7,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4068769998848438,-0.0,1
0.75,7,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40029819984920323,-0.0,1
0.75,7,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4030273000244051,-0.0,1
0.75,7,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4043989998754114,-0.0,1
0.75,7,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.44044129992835224,-0.0,1
0.75,7,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.449411700014025,-0.0,1
0.75,7,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4326889000367373,-0.0,1
0.75,10,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4140661999117583,-0.0,1
0.75,10,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4054549001157284,-0.0,1
0.75,10,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4066029000096023,-0.0,1
0.75,10,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.39519329997710884,-0.0,1
0.75,10,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4053249000571668,-0.0,1
0.75,10,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.44166629994288087,-0.0,1
0.75,10,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4181838999502361,-0.0,1
0.75,10,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40469769993796945,-0.0,1
0.75,10,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4024445000104606,-0.0,1
0.75,10,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4087484998162836,-0.0,1
0.75,15,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.42984439991414547,-0.0,1
0.75,15,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.43531739991158247,-0.0,1
0.75,15,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4204617999494076,-0.0,1
0.75,15,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4283200001809746,-0.0,1
0.75,15,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4088304000906646,-0.0,1
0.75,15,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40340409986674786,-0.0,1
0.75,15,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40159899997524917,-0.0,1
0.75,15,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40983340004459023,-0.0,1
0.75,15,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4033888000994921,-0.0,1
0.75,15,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40323000005446374,-0.0,1
0.75,20,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.39380350010469556,-0.0,1
0.75,20,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.41935870004817843,-0.0,1
0.75,20,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4488177001476288,-0.0,1
0.75,20,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.45099009992554784,-0.0,1
0.75,20,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.43748600012622774,-0.0,1
0.75,20,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.42301859986037016,-0.0,1
0.75,20,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4297882001847029,-0.0,1
0.75,20,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.41035879985429347,-0.0,1
0.75,20,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.44930370012298226,-0.0,1
0.75,20,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4397166999988258,-0.0,1
1.0,7,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4350725000258535,-0.0,1
1.0,7,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.43962209997698665,-0.0,1
1.0,7,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4245964998845011,-0.0,1
1.0,7,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4284896000754088,-0.0,1
1.0,7,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.42103169998154044,-0.0,1
1.0,7,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.41218960005789995,-0.0,1
1.0,7,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4068307999987155,-0.0,1
1.0,7,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40655620000325143,-0.0,1
1.0,7,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40786670008674264,-0.0,1
1.0,7,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4078776000533253,-0.0,1
1.0,10,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4156331999693066,-0.0,1
1.0,10,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40460540005005896,-0.0,1
1.0,10,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.45095229987055063,-0.0,1
1.0,10,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4089346998371184,-0.0,1
1.0,10,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40377660002559423,-0.0,1
1.0,10,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.39905070001259446,-0.0,1
1.0,10,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.39833780005574226,-0.0,1
1.0,10,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40196059993468225,-0.0,1
1.0,10,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4018625000026077,-0.0,1
1.0,10,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.43863550014793873,-0.0,1
1.0,15,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40249960008077323,-0.0,1
1.0,15,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4381413001101464,-0.0,1
1.0,15,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40524549991823733,-0.0,1
1.0,15,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3872162001207471,-0.0,1
1.0,15,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.390469100093469,-0.0,1
1.0,15,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3912720999214798,-0.0,1
1.0,15,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4050783000420779,-0.0,1
1.0,15,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4186337001156062,-0.0,1
1.0,15,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4261109000071883,-0.0,1
1.0,15,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4624212000053376,-0.0,1
1.0,20,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4954213001765311,-0.0,1
1.0,20,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4613509001210332,-0.0,1
1.0,20,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.42884499998763204,-0.0,1
1.0,20,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4336826999206096,-0.0,1
1.0,20,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.43302190001122653,-0.0,1
1.0,20,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4338835999369621,-0.0,1
1.0,20,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4423105001915246,-0.0,1
1.0,20,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.5121486999560148,-0.0,1
1.0,20,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.5606913000810891,-0.0,1
1.0,20,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.5094958001282066,-0.0,1
1.25,7,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4811774000991136,-0.0,1
1.25,7,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4278878001496196,-0.0,1
1.25,7,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.408739099977538,-0.0,1
1.25,7,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.42165939998812973,-0.0,1
1.25,7,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40234459983184934,-0.0,1
1.25,7,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.44932180014438927,-0.0,1
1.25,7,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.401443799957633,-0.0,1
1.25,7,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.41233650012873113,-0.0,1
1.25,7,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3995817000977695,-0.0,1
1.25,7,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40355730010196567,-0.0,1
1.25,10,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.39860749989748,-0.0,1
1.25,10,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4120661001652479,-0.0,1
1.25,10,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4043210002128035,-0.0,1
1.25,10,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4067746000364423,-0.0,1
1.25,10,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.3995219999924302,-0.0,1
1.25,10,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40792770008556545,-0.0,1
1.25,10,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4021161000709981,-0.0,1
1.25,10,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4052051999606192,-0.0,1
1.25,10,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.46090950001962483,-0.0,1
1.25,10,49,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4200150000397116,-0.0,1
1.25,15,40,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4091554000042379,-0.0,1
1.25,15,41,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.41483580018393695,-0.0,1
1.25,15,42,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.42263839999213815,-0.0,1
1.25,15,43,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40622329991310835,-0.0,1
1.25,15,44,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.4011280999984592,-0.0,1
1.25,15,45,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.41039020009338856,-0.0,1
1.25,15,46,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.40791149996221066,-0.0,1
1.25,15,47,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.47974819992668927,-0.0,1
1.25,15,48,0.31041156426922656,0.02553416489649806,0.15846750466288637,0.9999999988888888,0.9999999975,0.42558609996922314,-0.0,1
